bs,bs1,bs2,bs2_1,bs3,bs4_1,c10_1,c1_1,c2_1,c2_2,c2_3,c3_1,c3_2,c3_3,c3_4,c3_5,c3_6,c3_7,c3_8,c4,c5,c6_1,c6_2,c6_3,c7,c8_1,c8_2,c8_3,c8_4,c8_5,c8_6,c9_1,c_total,ct10,ct12,ct13,ct14,ct15_1,ct16,ct1_1,ct1_2,ct1_3,ct1_4,ct2_1,ct2_2,ct2_3,ct3_1,ct3_2,ct3_3,ct3_4,ct4,ct5,ct6_1,ct7_1,ct7_2,ct8_1,ct8_2,ct8_3,ct9_1,f1_1,f2_1,f2_2,f3_1,f3_2,f3_3,f3_4,f3_5,f4_1,f5,f6_1,l1_1,l1_2,l1_3,l1_4,l1_5,l1_6,l2_1,l2_2,l2_3,l2_4,l3_1,l3_2,l3_3,l3_4,l4_1,l4_2,l4_3,l4_4,l_total,c_total,ct_total,f_total,l_sum,c_sum,ct_sum,f_sum,l_avg,c_avg,ct_avg,f_avg,total
1,0,2,2,0,5,0.83,0.83,0.67,0.83,0.83,0.83,0.67,0.5,0.67,0.17,0.5,0.83,0.67,0.5,0.25,1,1,1,0,1,1,1,1,1,1,1,26,0.5,0.44,0.75,1,0.83,0,1,1,1,1,1,1,1,1,0.83,0.83,0.67,0.33,,0.67,1,0.67,0.67,0.67,0.83,0,1,1,0.83,0.83,1,1,1,1,0.83,0.75,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.67,0.5,0.5,0.67,0.67,0.67,0.67,0.67,18,26,26,11,10.02,19.58,18.69,9.74,13.92,18.83,17.97,22.14,58.03
1,8,2,1,0,7,0.83,0.83,0.67,0.67,0.83,0.67,0.83,0.67,0.5,0.5,0.5,0.83,0.67,0.5,0.5,1,1,1,0,1,1,1,1,1,1,0.83,26,0.71,0.56,0.5,0.5,1,0,1,0.83,1,0.67,1,1,1,0.83,1,0.83,1,0.33,0,0.33,0.83,0.83,0.83,0.83,0.83,0.83,1,1,1,0.83,0.83,0.83,0.83,0.83,1,1,0.83,0.83,0.67,0.83,0.83,0.83,0.67,0.5,0.67,0.5,0.5,0.67,0.67,0.67,0.67,0.67,0.67,0.5,0.83,18,26,26,11,12.18,19.83,19.07,9.98,16.92,19.07,18.34,22.68,61.06
1,8,2,2,0,7,0.83,0.83,0.67,0.67,0.83,0.67,0.83,0.67,0.5,0.5,0.5,0.83,0.67,0.5,0.5,1,1,1,0,1,1,1,1,1,1,0.83,26,0.71,0.56,0.5,0.5,1,0,1,0.83,1,0.67,1,1,1,0.83,1,0.83,1,0.33,0,0.33,0.83,0.83,0.83,0.83,0.83,0.83,1,1,1,0.83,0.83,0.83,0.83,0.83,1,1,0.83,0.83,0.67,0.83,0.83,0.83,0.67,0.5,0.67,0.5,0.5,0.67,0.67,0.67,0.67,0.67,0.67,0.5,0.83,18,26,26,11,12.18,19.83,19.07,9.98,16.92,19.07,18.34,22.68,61.06
1,6,2,1,0,4,0.33,0.33,0.33,0.17,0.33,0.67,0.5,0.33,0.5,0.5,0.5,0.33,0.5,0,0.25,0.83,0.83,0.83,0,0,0.17,0,0,0.33,0,0.83,26,0.29,0.33,0.75,0.5,0.5,0,0.17,0.33,1,0.17,1,0,0.17,0.67,0.67,0.67,0.67,,,0,0.5,0.67,0.33,0.67,0.5,0,0.5,0.17,0.33,0.33,0.33,0.33,0.33,0.33,0.83,0.25,0,0.17,0.5,1,0.67,0.33,0.33,0.67,0.67,0.83,0.5,0.33,0.33,0.5,0.33,0.33,0.33,0.17,0.33,18,26,26,11,8.32,9.39,10.56,3.73,11.56,9.03,10.15,8.48,32.00
1,6,2,2,0,4,0.33,0.33,0.33,0.17,0.33,0.67,0.5,0.33,0.5,0.5,0.5,0.33,0.5,0,0.25,0.83,0.83,0.83,0,0,0.17,0,0,0.33,0,0.83,26,0.29,0.33,0.75,0.5,0.5,0,0.17,0.33,1,0.17,1,0,0.17,0.67,0.67,0.67,0.67,,,0,0.5,0.67,0.33,0.67,0.5,0,0.5,0.17,0.33,0.33,0.33,0.33,0.33,0.33,0.83,0.25,0,0.17,0.5,1,0.67,0.33,0.33,0.67,0.67,0.83,0.5,0.33,0.33,0.5,0.33,0.33,0.33,0.17,0.33,18,26,26,11,8.32,9.39,10.56,3.73,11.56,9.03,10.15,8.48,32.00
0,0,0,0,0,0,0.17,0.33,0.33,0.17,0.83,0.83,0.33,0.17,0.17,0.17,0.17,0.17,0.17,0.25,0.25,0.83,0.83,0.83,0,0,0,0,0,0,0,0.83,26,0,0.22,0.5,0.5,0.83,,0.83,0.17,0.67,0.17,0.67,0.17,0.17,0.17,0.33,0.17,0.17,,,0,0.17,0.17,0.17,0.17,0.33,0,0.83,0.83,0.83,0.83,0.33,0.67,0.83,0.83,0,0,0.17,0.17,0.67,0.83,0.83,0.83,0.17,0.17,0.17,0.17,0.17,0.33,0.17,0.17,0.67,0.83,0.83,0.33,0.67,18,26,26,11,8.18,7.83,6.75,6.15,11.36,7.53,6.49,13.98,28.91
0,0,0,0,0,0,0.5,0.17,0.83,0.17,0.67,0.67,0.67,0.67,0.5,0.67,0.67,0.5,0.5,0.5,0.5,0.83,0.83,0.83,0,0.5,0.33,0.67,0.33,0.33,0,1,26,0.29,0.33,0.25,1,0.17,,1,0.67,1,0.5,1,0.67,0.67,1,1,0.67,0.67,0.17,,0,0.5,0.5,0.5,0.5,0.5,0.5,1,1,0.83,0.5,0.5,0.33,0.5,0.67,0.83,0,0.17,0.5,0.67,0.5,0.33,0.5,0.33,0.5,0.5,0.67,0.5,0.33,0.33,0.33,0.33,0.67,0.67,0.5,0.33,18,26,26,11,8.49,13.84,14.06,6.33,11.79,13.31,13.52,14.39,42.72
0,0,0,0,0,0,0.17,0.33,0.17,0.17,0.83,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.75,0.25,0.17,0.17,0.17,0,0.17,0.17,0.33,0.33,0.17,0.17,0.17,26,0.14,0.11,0.75,0.5,0.33,,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,,,0,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.83,0.83,0.17,0.17,0.17,0.17,0.17,0.17,0.5,0.17,0.17,0.83,0.83,0.83,0.83,0.83,0.17,0.83,0.83,0.17,0.83,0.17,0.17,0.17,0.17,0.17,0.17,0.17,18,26,26,11,8.34,6.05,4.72,3.52,11.58,5.82,4.54,8.00,22.63
0,0,0,0,0,0,0,0.17,0.5,0,0.83,0.83,0,0.67,0.5,0,0,0.5,0.67,0,0,1,0.83,1,0,0,0.5,0.17,0.67,1,0.5,0.83,26,0.5,0.5,0.5,0.5,0.67,0,0.5,0,0.5,0,0.17,0,0,0.17,0.5,0,0.33,,,0,0.83,0.17,0.17,0.5,0.83,0,0,0.83,0,0.67,0.17,0,0.5,0.5,0.67,0,0,0.67,0.83,1,0.5,0.5,0.33,0,0,0,0,0,0,0,0,0.83,0.5,0.33,0,18,26,26,11,5.49,11.17,7.34,3.34,7.63,10.74,7.06,7.59,27.34
0,0,0,0,0,0,0.17,0.33,1,0.17,0.5,1,0.83,1,1,0.17,0.83,0,0.17,0,0,1,1,1,0,0,0.33,0.5,1,0.67,0.17,1,26,0,0.22,0,0.5,0,,1,0.33,1,0.17,1,0.33,0.5,1,1,0.33,0.67,,,0,0.83,0.83,0.17,0.33,0.83,0,1,0.33,0.83,1,1,1,1,1,1,1,0.83,0.5,0.5,0.33,0.33,0.17,0.67,0.5,0.67,0.5,0.5,0.33,0.83,0.67,1,1,1,1,1,18,26,26,11,11.5,13.84,11.04,9.99,15.97,13.31,10.62,22.70,46.37
0,0,0,0,0,0,0.83,0.67,0.67,0.5,0.83,0.83,0.83,0.83,0.83,0.67,0.83,0.67,0.83,0.5,0.25,1,1,0.83,0,0,0,0,0,0.17,0,1,26,0.71,0.22,1,0.5,0.67,0,1,0.83,1,0.67,0.83,1,0.83,1,0.83,0.83,0.83,0,,0,0.83,1,0.83,1,0.83,0.5,1,1,0.83,0.83,0.83,0.33,0.83,0.83,1,1,0.67,0.5,1,0.83,0.5,0.67,0.67,0.67,0.67,0.5,0.67,0.33,0.67,0.5,0.67,0.83,0.83,0.83,0.83,18,26,26,11,12.17,14.57,17.74,9.15,16.90,14.01,17.06,20.80,53.63
1,1,1,1,0,1,0.83,0.67,0.83,0.5,0.33,0.83,0.67,0.83,0.67,0.67,0.83,1,0.83,1,0.75,0.83,0.83,0.83,0,0.17,0.33,0.5,0.5,0.5,0.5,0.83,26,0.29,0.33,0.5,0.5,0.83,0,0.5,0.5,1,0.33,1,0.17,0.5,0.83,0.83,0.33,0.83,,,0,0.83,0.83,0.83,0.67,0.83,0.33,0.67,0.17,0.33,1,0.67,0.17,0.83,0.83,1,1,0.83,0.33,0.67,0.83,0.83,0.67,0.5,0.17,0.17,0.17,0.33,0,0.17,0.33,0.5,0.67,0.67,0.67,0.67,18,26,26,11,8.35,17.06,13.59,7.5,11.60,16.40,13.07,17.05,46.50
1,4,1,2,0,3,0.83,0.83,0.83,0.67,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,1,1,0.83,0.83,0.83,0,0.17,0.33,0.5,0.33,0.5,0.17,0.83,26,0.29,0.33,1,0.5,1,0,0.83,0.67,0.67,0.5,0.67,0.67,0.5,0.83,0.83,0.83,0.83,0,0,0,0.67,0.67,0.17,0.17,0.67,0,0.83,0.83,1,0.83,0.83,0.83,0.83,0.83,0.83,1,0.33,0.5,0.33,0.67,0.67,0.83,0.5,0.67,0.67,0.67,0.67,0.33,0.67,0.67,0.67,1,1,0.83,0.83,18,26,26,11,12.18,17.95,13.3,8.97,16.92,17.26,12.79,20.39,52.40
1,5,1,1,0,2,0.5,0.5,0.33,0.33,0.83,0.83,0.67,0.83,0.83,0.83,0.83,0.83,0.67,0.5,0.5,0.83,0.83,0.83,0,0.17,0,0.67,0.17,0.33,0,0.67,26,0.57,0.22,1,0.5,0.83,0,0.67,0.83,1,0.5,1,0.5,0.5,0.83,0.83,0.67,0.83,,,0,0.83,0.83,0.67,0.5,0.67,0.5,0.83,0.33,0.67,0.83,0.33,0.67,0.67,0.67,1,0,0,0.33,0.5,0.5,0.33,0.33,0.67,0.33,0.33,0.17,0.33,0.17,0.83,0.83,0.83,0.5,0.67,0.67,0.83,18,26,26,11,9.15,14.31,15.28,6,12.71,13.76,14.69,13.64,44.74
1,18,3,1,1,6,0.83,0.83,0.83,1,0.17,1,0.83,1,0.83,1,1,0.83,0.83,1,0.75,0.83,1,0.83,,1,1,1,0.83,0.83,0.83,0.83,26,0.29,0.33,0.5,0.5,0.83,0,0.83,1,1,0.83,0.83,0.83,1,1,0.83,0.83,1,0.67,0,0.33,1,0.83,1,0.83,0.83,0.83,0.83,0,0.17,0.83,1,0.83,0.83,1,0.83,0,0.83,1,0.17,0.17,0,0.17,0,0.83,0.17,0,1,0.17,1,1,0.83,1,1,0.83,0.83,18,26,26,11,10.17,21.71,18.75,7.15,14.13,20.88,18.03,16.25,57.78
1,18,3,2,1,6,0.83,0.83,0.83,1,0.17,1,0.83,1,0.83,1,1,0.83,0.83,1,0.75,0.83,1,0.83,,1,1,1,0.83,0.83,0.83,0.83,26,0.29,0.33,0.5,0.5,0.83,0,0.83,1,1,0.83,0.83,0.83,1,1,0.83,0.83,1,0.67,0,0.33,1,0.83,1,0.83,0.83,0.83,0.83,0,0.17,0.83,1,0.83,0.83,1,0.83,0,0.83,1,0.17,0.17,0,0.17,0,0.83,0.17,0,1,0.17,1,1,0.83,1,1,0.83,0.83,18,26,26,11,10.17,21.71,18.75,7.15,14.13,20.88,18.03,16.25,57.78
1,18,3,3,1,6,0.83,0.83,0.83,1,0.17,1,0.83,1,0.83,1,1,0.83,0.83,1,0.75,0.83,1,0.83,,1,1,1,0.83,0.83,0.83,0.83,26,0.29,0.33,0.5,0.5,0.83,0,0.83,1,1,0.83,0.83,0.83,1,1,0.83,0.83,1,0.67,0,0.33,1,0.83,1,0.83,0.83,0.83,0.83,0,0.17,0.83,1,0.83,0.83,1,0.83,0,0.83,1,0.17,0.17,0,0.17,0,0.83,0.17,0,1,0.17,1,1,0.83,1,1,0.83,0.83,18,26,26,11,10.17,21.71,18.75,7.15,14.13,20.88,18.03,16.25,57.78
0,0,0,0,0,0,1,0.83,1,0.83,1,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,1,0,1,1,1,0,0,0,0.17,0,0.5,0.17,1,26,0.29,0.22,0.25,0.5,0.83,,0.83,0.83,0.5,0.5,0.5,0,0.5,1,1,1,1,0.17,0,0.17,0.83,0.83,0.5,1,0.67,0.67,0.83,0.83,0.83,1,1,1,1,1,1,0.75,0.17,0.17,1,0.5,0.83,1,0.33,0.5,0.5,0.5,0.67,1,0.83,0.83,0.83,0.83,0.83,0.83,0.83,18,26,26,11,12.81,17.14,14.59,9.41,17.79,16.48,14.03,21.39,53.95
1,3,2,1,0,4,1,0.67,0.67,0.5,0.67,0.83,0.17,0.67,0.17,0.5,0.83,1,0.33,0.75,0.25,0.83,0.83,0.83,0,0,0,0,0,0,0,1,26,0.29,0.44,0.5,0.5,0.67,0,0.83,0.5,0.83,0.5,0.83,0.83,0.5,1,0.67,0,0,,0,0,0.83,0.67,0.83,0.83,0.83,0.5,0.83,0.5,0.33,0.83,0.83,0.83,0.83,0.83,1,0.75,0.5,0.17,0.83,0.83,0.17,0.83,0.5,0.17,0.17,0.17,0.17,0.83,0.83,0.83,0.83,0.67,0.67,0.17,0.5,18,26,26,11,9.34,12.5,13.38,8.06,12.97,12.02,12.87,18.32,43.28
1,3,2,2,0,4,1,0.67,0.67,0.5,0.67,0.83,0.17,0.67,0.17,0.5,0.83,1,0.33,0.75,0.25,0.83,0.83,0.83,0,0,0,0,0,0,0,1,26,0.29,0.44,0.5,0.5,0.67,0,0.83,0.5,0.83,0.5,0.83,0.83,0.5,1,0.67,0,0,,0,0,0.83,0.67,0.83,0.83,0.83,0.5,0.83,0.5,0.33,0.83,0.83,0.83,0.83,0.83,1,0.75,0.5,0.17,0.83,0.83,0.17,0.83,0.5,0.17,0.17,0.17,0.17,0.83,0.83,0.83,0.83,0.67,0.67,0.17,0.5,18,26,26,11,9.34,12.5,13.38,8.06,12.97,12.02,12.87,18.32,43.28
0,0,0,0,0,0,0.67,0.83,1,0.67,0.83,1,0.83,1,0.83,0.67,0.83,0.83,0.83,0.5,0.5,1,1,1,0,0.33,0.5,0.5,0.33,0.33,0.17,0.83,26,0.57,0.44,1,0.5,0.83,0,1,0.83,0.83,0.83,1,0.83,0.83,0.83,0.83,0.67,0.67,0,,0,0.67,0.67,0.83,0.83,0.83,0.5,0.83,1,0.83,1,0.83,0.83,0.83,0.83,0.83,1,0.5,0.33,0.33,0.67,0.5,0.17,0.33,0.67,0.5,0.67,0.67,0.17,0.17,0.33,0.5,0.83,0.83,0.83,0.83,18,26,26,11,9.33,17.81,16.82,9.31,12.96,17.13,16.17,21.16,53.27
0,0,0,0,0,0,0.67,0.83,0.5,0.83,0.5,0.17,0.83,0.33,0.5,0.33,0.67,0.83,0.17,0.75,0.25,0.5,0.33,0.67,0,0.5,0.17,0.83,0.17,0.5,0.83,0.33,26,0.57,0.56,0.75,1,0.5,,0.67,0.33,0.67,0.33,0.5,0.17,0.17,1,0.33,0.5,0.5,0.33,0,0.5,0.17,0.33,0.67,0.17,0.5,0.67,0.5,0.5,0.33,0.17,1,0.67,0.17,0.5,0.5,0.5,0.67,0.83,0.33,0.67,0.83,0.83,0.5,0.5,0.83,0.33,0.33,0.17,0.17,0.5,0.17,0.67,0.33,0.5,0.17,18,26,26,11,8.66,12.99,11.89,5.51,12.03,12.49,11.43,12.52,39.05
0,0,0,0,0,0,0.5,0.5,0.17,0.67,0.5,0.17,1,0.5,0,1,0.17,1,0.67,0,0,0.33,0.83,0.5,0,0,0.83,1,0.83,0.33,0.17,0.67,26,0,0.11,0.5,0.5,1,,0.17,0.17,0.83,1,1,1,0.17,0.83,0.17,1,0.33,,,0,0.83,0.67,0.17,0.33,0.67,0.67,1,0.5,1,0,0.67,0.17,0.17,0.33,1,0.25,0.83,0.83,0,0.33,1,0.83,1,0.5,0.83,0.83,1,0.17,0.67,0.5,0.83,0.83,0.33,0.67,0.83,18,26,26,11,11.98,12.34,12.12,5.92,16.64,11.87,11.65,13.45,42.36
1,5,2,1,0,2,0.83,0.83,0.67,0.17,1,0.83,1,0.83,0.83,0.67,0.67,0.83,0.67,0.75,0.25,0.83,0.83,0.83,0,0,0,0,0,0,0,0.67,26,0,0.22,0.5,0.5,0.33,,0.67,0.33,0.67,0.17,0.17,0.17,0.17,0.83,0.67,0.83,0.67,,,0,0.67,0.83,0.33,0.67,0.5,0.67,0.83,1,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.75,0.33,0.83,1,0.83,1,1,0.83,0,1,1,0,0.83,0.83,0.83,0.83,0.83,1,0.83,0.83,18,26,26,11,14.3,13.99,10.57,8.72,19.86,13.45,10.16,19.82,47.58
1,5,2,2,0,2,0.83,0.83,0.67,0.17,1,0.83,1,0.83,0.83,0.67,0.67,0.83,0.67,0.75,0.25,0.83,0.83,0.83,0,0,0,0,0,0,0,0.67,26,0,0.22,0.5,0.5,0.33,,0.67,0.33,0.67,0.17,0.17,0.17,0.17,0.83,0.67,0.83,0.67,,,0,0.67,0.83,0.33,0.67,0.5,0.67,0.83,1,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.75,0.33,0.83,1,0.83,1,1,0.83,0,1,1,0,0.83,0.83,0.83,0.83,0.83,1,0.83,0.83,18,26,26,11,14.3,13.99,10.57,8.72,19.86,13.45,10.16,19.82,47.58
1,5,2,1,0,2,0.33,0.67,0,0.67,0.83,0.67,0.33,0.33,0.33,0,0.67,0,0.83,0.25,0,1,1,0.83,0,0,0.17,0.17,0.17,0,0,0.33,26,0,0,0.25,0.5,0.83,,0.17,0.67,0.67,0,1,0.17,0.17,0.83,1,1,1,0.17,,0,0.67,0.67,0,0.67,0.67,0,0.17,0.17,0.33,1,0.67,1,0.83,0.83,0.83,0.25,0,0,0.83,0.83,0.83,1,0.33,0.17,0.83,0.33,0.33,0.33,0.67,0.67,0.67,0,0,0.17,0,18,26,26,11,7.99,9.58,11.11,6.08,11.10,9.21,10.68,13.82,34.76
1,5,2,2,0,2,0.33,0.67,0,0.67,0.83,0.67,0.33,0.33,0.33,0,0.67,0,0.83,0.25,0,1,1,0.83,0,0,0.17,0.17,0.17,0,0,0.33,26,0,0,0.25,0.5,0.83,,0.17,0.67,0.67,0,1,0.17,0.17,0.83,1,1,1,0.17,,0,0.67,0.67,0,0.67,0.67,0,0.17,0.17,0.33,1,0.67,1,0.83,0.83,0.83,0.25,0,0,0.83,0.83,0.83,1,0.33,0.17,0.83,0.33,0.33,0.33,0.67,0.67,0.67,0,0,0.17,0,18,26,26,11,7.99,9.58,11.11,6.08,11.10,9.21,10.68,13.82,34.76
0,0,0,0,0,0,0.83,0.67,0.83,0.67,0.83,1,0.83,1,1,0.83,1,1,1,0.5,0.5,1,1,1,0,0,0.17,0,0,0.17,0,1,26,0.57,0.56,0.5,1,0.83,0,0.83,0.17,1,0.17,1,0.33,0.17,1,1,0.83,1,0,0,0,0.83,0.83,1,1,1,0.83,0.83,1,0.33,1,1,0.83,1,1,0.83,1,0.67,0.33,1,0.67,0.83,0.83,0.83,0.83,0.83,0.83,0.67,0.83,1,0.83,1,1,1,0.83,1,18,26,26,11,15.14,16.83,16.45,9.49,21.03,16.18,15.82,21.57,57.91
0,0,0,0,0,0,1,1,0.67,0.83,0.67,0.17,0.17,0.17,0.83,0.33,0.83,1,0.17,0.75,0.25,0.83,1,1,0,0,0,0,0,0,0,1,26,0.29,0.33,0.5,1,1,0,0.83,0.67,1,0.5,0.83,0.67,0.83,1,1,0.67,0.83,0,,0,0.5,0.33,1,0.67,0.83,0,1,0.83,0.67,0.67,1,0.17,1,0.83,1,1,0.83,1,0.17,0.33,0.83,1,0.67,0.83,0.17,0.67,1,0.67,0.17,0.17,1,0.83,1,0.17,0.83,18,26,26,11,11.51,12.67,15.28,9,15.99,12.18,14.69,20.45,48.46
1,12,2,1,0,6,0.83,0.67,0.17,0.33,0.67,0.83,0.17,0.5,0.67,0.67,0.33,0.83,0.33,0.25,0.5,0.33,0.67,0.67,0,0.5,0.33,0.33,0.17,0.67,0.5,0.33,26,0.57,0.22,0.5,1,0.67,,0.5,0.17,0.33,0.33,0.67,0.5,0.67,0.17,0,0.33,0.33,0,0,0.5,0.33,0.33,0.33,0.17,0.5,0.83,0.67,0.33,0.17,0.83,0.67,0.83,0.67,0.33,0.83,0.25,0.83,0.67,0.83,0.33,0.67,0.5,0.67,0.5,0.83,0.33,0.33,0.33,0.5,0.33,0.5,0.33,0.33,1,0.83,18,26,26,11,9.81,12.25,9.95,6.41,13.63,11.78,9.57,14.57,38.42
1,12,2,3,0,6,0.83,0.67,0.17,0.33,0.67,0.83,0.17,0.5,0.67,0.67,0.33,0.83,0.33,0.25,0.5,0.33,0.67,0.67,0,0.5,0.33,0.33,0.17,0.67,0.5,0.33,26,0.57,0.22,0.5,1,0.67,,0.5,0.17,0.33,0.33,0.67,0.5,0.67,0.17,0,0.33,0.33,0,0,0.5,0.33,0.33,0.33,0.17,0.5,0.83,0.67,0.33,0.17,0.83,0.67,0.83,0.67,0.33,0.83,0.25,0.83,0.67,0.83,0.33,0.67,0.5,0.67,0.5,0.83,0.33,0.33,0.33,0.5,0.33,0.5,0.33,0.33,1,0.83,18,26,26,11,9.81,12.25,9.95,6.41,13.63,11.78,9.57,14.57,38.42
1,5,1,1,1,7,1,1,0.67,0.83,0.17,0.83,0.67,0.83,1,1,0.83,0.83,0.83,0.5,0.5,0.83,0.83,1,,1,0.83,1,0.67,0.83,0.83,0.83,26,0,0.11,0.5,1,1,0,0.83,1,0.83,0.83,0.83,0.83,1,0.83,0.83,0.67,1,,,0.83,0.83,0.83,0.83,0.83,1,0.83,0.83,0,0.17,0.83,1,0.83,1,0.67,1,0.25,1,1,0.17,0,0,0.17,0.17,1,0.17,0.17,1,0,0.83,0.83,1,1,1,0.83,0.83,18,26,26,11,10.17,20.14,18.07,7.58,14.13,19.37,17.38,17.23,55.96
0,0,0,0,0,0,0.67,0.5,0.17,0.17,0.33,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.5,0.25,0.67,0.67,0.67,0,0.17,0.17,0.17,0.17,0.17,0.17,0.33,26,0.29,0.22,0.5,0.5,0.33,0,0,0,0,0,0.17,0.17,0.17,0.67,0.67,0.67,0.67,0,0,0.17,0.83,0.17,0.67,0.67,0.67,0.67,0.5,0.83,0.83,0.17,0.17,0.17,0.17,0.17,0.5,1,0.67,0.17,0.33,0.83,0.33,0.83,0.17,0.17,0.33,0.33,0.67,0.33,0.17,0.17,0.33,0.17,0.17,0.17,0.17,18,26,26,11,5.84,11.31,8.88,5.18,8.11,10.88,8.54,11.77,31.21
0,0,0,0,0,0,0.83,0.5,0.33,0.33,0.83,0.83,0.33,0.83,0.33,0,0.83,0.83,0.83,0,0,0.17,0.83,0.83,0,0,0.17,0,0.17,0.33,0,0.67,26,0.57,0,1,0.5,0.5,0,1,0.17,0.83,0.5,0.83,0.17,0.5,1,0.83,0.67,0.67,,,0,0.5,0.33,0.17,0.17,1,0,0.83,1,0.83,0.67,0.83,0.5,0.83,0.67,1,1,0.5,0.33,0.83,0.83,0.83,0.33,0.83,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.67,0.67,0.5,0.67,18,26,26,11,7.85,10.8,11.91,8.66,10.90,10.38,11.45,19.68,39.22
0,0,0,0,0,0,0.83,0.67,0.83,0.5,0.83,1,0.67,0.83,0.67,0.83,0.83,1,0.67,0.5,0.75,0.67,1,1,0,0,0.17,0.67,0.83,0.17,0,0.67,26,0.29,0.22,0.5,0.5,1,,1,0.83,0.83,1,0.83,1,1,0.67,1,1,1,0,,0.67,0.67,0.83,0.17,0.83,0.67,0.67,0.83,0.5,0.5,1,0.83,0.83,0.67,1,0.67,0.75,0.5,0.83,0.83,0.67,0.83,1,1,0.83,0.17,0.83,1,0.83,0.83,1,1,0.83,0.83,0.83,0.67,18,26,26,11,14.81,16.59,17.18,8.08,20.57,15.95,16.52,18.36,56.66
1,3,1,1,0,1,0.5,0.67,0.5,0.5,1,1,0,0.5,0,0,0.5,0.17,0,0.25,0.25,0.83,0.5,0.5,0,0.33,0.5,0.33,0.5,0.5,0.17,1,26,0.29,0.22,0.5,0.5,0.5,,0,0.5,0.17,0,0,0,0.5,0.5,0.5,0,0.5,0,,0,0,0,0,0.5,0.5,0,0.67,1,1,0.83,0.5,0.5,0.5,0.83,1,0.25,0.17,0,0.5,0.5,0.5,0.5,0,0.17,0.5,0.5,0.17,0.17,0.5,0.5,0.67,1,1,0.5,1,18,26,26,11,8.68,11,5.68,7.25,12.06,10.58,5.46,16.48,32.61
1,5,2,1,0,1,0.33,0.17,0.83,0.33,0,0.83,0.67,0.83,0.67,0.67,0.33,0.83,0.83,0.5,0.5,1,0.83,0.83,0,0,0.17,0.5,0.33,0.67,0,0.67,26,0.57,0.33,1,0.5,0.83,0,0.67,0.33,1,0.17,1,0.17,0.17,0.83,0.83,1,0.67,0,,0,0.67,0.83,0.67,0.33,0.83,0.33,0.17,1,0.17,0.67,0.5,0.17,0.5,0.67,0.5,0,0.17,0.33,0.33,0.33,0.83,0.33,0.67,0.17,0.17,0.17,0.33,0.17,0.33,0.67,0.83,0.67,0.67,0.67,0.67,18,26,26,11,8.34,13.32,13.73,4.52,11.58,12.81,13.20,10.27,39.91
1,5,2,2,0,1,0.33,0.17,0.83,0.33,0,0.83,0.67,0.83,0.67,0.67,0.33,0.83,0.83,0.5,0.5,1,0.83,0.83,0,0,0.17,0.5,0.33,0.67,0,0.67,26,0.57,0.33,1,0.5,0.83,0,0.67,0.33,1,0.17,1,0.17,0.17,0.83,0.83,1,0.67,0,,0,0.67,0.83,0.67,0.33,0.83,0.33,0.17,1,0.17,0.67,0.5,0.17,0.5,0.67,0.5,0,0.17,0.33,0.33,0.33,0.83,0.33,0.67,0.17,0.17,0.17,0.33,0.17,0.33,0.67,0.83,0.67,0.67,0.67,0.67,18,26,26,11,8.34,13.32,13.73,4.52,11.58,12.81,13.20,10.27,39.91
0,0,0,0,0,0,1,0.83,0.83,0.67,1,1,1,0.83,1,0.83,0.83,0.83,0.83,0.5,0.5,1,1,1,0,0,0,0,0,0,0,1,26,0.29,0.11,0.5,1,0.83,0,1,1,1,0.5,0.67,1,1,1,1,0.83,1,0,,0,1,0.67,0.67,0.67,1,0.17,1,1,1,1,1,1,1,1,1,0.75,0.83,0.83,0.17,1,0.67,0.83,0.67,0.83,0.83,0.83,0.83,1,0.83,0.83,0.83,0.83,0.83,0.83,0.83,18,26,26,11,14.3,16.48,16.91,10.58,19.86,15.85,16.26,24.05,58.27
0,0,0,0,0,0,0.67,0.83,0.5,0.67,0.67,0.67,0.67,0.67,0.67,0.5,0.67,0.5,0.5,0,0,0.67,0.67,0.67,0,0,1,1,0,1,0,0.67,26,0.57,0.33,0.75,1,0.67,0,0.67,0.5,1,0.5,1,0.67,0.5,0.67,0.67,0.33,0.5,,0,0,0.67,0.67,0.67,0.33,0.67,0.5,0.67,0.67,0.5,0.67,0.67,0.67,0.67,0.67,0.67,0.5,0.17,0.67,0.67,0.67,0.5,0.67,0.5,0.33,0.33,0.33,0.33,0.67,0.67,0.67,0.67,0.5,0.67,0.67,0.67,18,26,26,11,10.19,13.87,13.84,6.53,14.15,13.34,13.31,14.84,44.43
